"LogName","TimeCreated","Id","LevelDisplayName","Message"
"System","04/11/2025 08:21:59 p. m.","10317","Error","Minipuerto Microsoft Wi-Fi Direct Virtual Adapter #2, {ef60c33c-1c07-43ff-b5d6-1ad56cdcb3a5}, tuvo el evento Fatal error: The miniport has failed a power transition to operational power"
"System","04/11/2025 11:47:43 a. m.","10317","Error","Minipuerto Microsoft Wi-Fi Direct Virtual Adapter #2, {ef60c33c-1c07-43ff-b5d6-1ad56cdcb3a5}, tuvo el evento Fatal error: The miniport has failed a power transition to operational power"
"System","04/11/2025 09:14:07 a. m.","1796","Error","La actualización de arranque seguro no pudo actualizar una variable de arranque seguro con el error Unknown HResult Error code: 0x800700c1. Para obtener más información, consulte https://go.microsoft.com/fwlink/?linkid=2169931"
"System","04/11/2025 09:14:07 a. m.","10317","Error","Minipuerto Microsoft Wi-Fi Direct Virtual Adapter #2, {ef60c33c-1c07-43ff-b5d6-1ad56cdcb3a5}, tuvo el evento Fatal error: The miniport has failed a power transition to operational power"
"System","03/11/2025 09:48:37 p. m.","10005","Error","Error de DCOM ""87"" al intentar iniciar el servicio GamingServices con argumentos ""No disponible"" para ejecutar el servidor: {D529741A-1BF1-4D1E-9976-35089622E758}"
"System","03/11/2025 09:48:37 p. m.","10005","Error","Error de DCOM ""87"" al intentar iniciar el servicio GamingServices con argumentos ""No disponible"" para ejecutar el servidor: {3E8C9ABE-9226-4609-BF5B-60288A391DEE}"
"System","03/11/2025 09:48:37 p. m.","10005","Error","Error de DCOM ""87"" al intentar iniciar el servicio GamingServices con argumentos ""No disponible"" para ejecutar el servidor: {D529741A-1BF1-4D1E-9976-35089622E758}"
"System","03/11/2025 09:48:37 p. m.","10005","Error","Error de DCOM ""87"" al intentar iniciar el servicio GamingServices con argumentos ""No disponible"" para ejecutar el servidor: {3E8C9ABE-9226-4609-BF5B-60288A391DEE}"
"System","03/11/2025 09:02:49 p. m.","1796","Error","La actualización de arranque seguro no pudo actualizar una variable de arranque seguro con el error Unknown HResult Error code: 0x800700c1. Para obtener más información, consulte https://go.microsoft.com/fwlink/?linkid=2169931"
"System","03/11/2025 09:02:38 p. m.","10317","Error","Minipuerto Microsoft Wi-Fi Direct Virtual Adapter #2, {ef60c33c-1c07-43ff-b5d6-1ad56cdcb3a5}, tuvo el evento Fatal error: The miniport has failed a power transition to operational power"
"System","02/11/2025 06:40:02 p. m.","1796","Error","La actualización de arranque seguro no pudo actualizar una variable de arranque seguro con el error Unknown HResult Error code: 0x800700c1. Para obtener más información, consulte https://go.microsoft.com/fwlink/?linkid=2169931"
"System","02/11/2025 06:40:01 p. m.","1801","Error","Las claves o CA de arranque seguro deben actualizarse. Esta información de firma de dispositivo se incluye aquí. DeviceAttributes: FirmwareManufacturer:AMI;FirmwareVersion:F.18;OEMModelBaseBoard:8BC8;OEMManufacturerName:HP;OSArchitecture:amd64; BucketId: f3ddd3586d8ed44fc07440145d0e119c9260318b7836cc075cc39ad32de11cd7 BucketConfidenceLevel:  UpdateType: 0 HResult: La operación se completó correctamente."
"System","02/11/2025 05:55:33 p. m.","1796","Error","La actualización de arranque seguro no pudo actualizar una variable de arranque seguro con el error Unknown HResult Error code: 0x800700c1. Para obtener más información, consulte https://go.microsoft.com/fwlink/?linkid=2169931"
"System","02/11/2025 05:55:22 p. m.","10317","Error","Minipuerto Microsoft Wi-Fi Direct Virtual Adapter #2, {ef60c33c-1c07-43ff-b5d6-1ad56cdcb3a5}, tuvo el evento Fatal error: The miniport has failed a power transition to operational power"
"Application","06/11/2025 10:19:01 p. m.","1022","Error",".NET Runtime version 4.0.30319.0 - Error al inicializar la infraestructura de asociación de la API de generación de perfiles. Este proceso no permitirá que se asocie un generador de perfiles. HRESULT: 0x80004005.  Id. de proceso (decimal): 20004. Id. de mensaje: [0x2509]."
